concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
1075906,Hypertension in chronic kidney disease stage 5 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332467008,0000-00-00,0000-00-00,
1075907,Hypertension in chronic kidney disease stage 4 due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332468003,0000-00-00,0000-00-00,
1075908,Chronic kidney disease stage 3B due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332469006,0000-00-00,0000-00-00,
1075909,Chronic kidney disease stage 3A due to type 2 diabetes mellitus,Condition,SNOMED,Disorder,S,1332470007,0000-00-00,0000-00-00,
1075910,Chronic kidney disease stage 3B due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332471006,0000-00-00,0000-00-00,
1075911,Chronic kidney disease stage 3A due to type 1 diabetes mellitus,Condition,SNOMED,Disorder,S,1332472004,0000-00-00,0000-00-00,
1076101,Excessive bleeding due to blood coagulation disorder,Condition,SNOMED,Clinical Finding,S,1335815005,0000-00-00,0000-00-00,
1076112,Effect of radiation,Condition,SNOMED,Clinical Finding,S,1335858009,0000-00-00,0000-00-00,
1076135,Bleeding of soft tissue,Condition,SNOMED,Clinical Finding,S,1335889008,0000-00-00,0000-00-00,
1076147,Intermittent obstruction of common bile duct caused by gallstone,Condition,SNOMED,Disorder,S,1335930000,0000-00-00,0000-00-00,
1076291,Dementia caused by ionizing radiation,Condition,SNOMED,Disorder,S,1339031006,0000-00-00,0000-00-00,
1076331,Acute reversible leukoencephalopathy with increased urinary alpha-ketoglutarate,Condition,SNOMED,Disorder,S,1340040004,0000-00-00,0000-00-00,
1076346,Finding of vaccine product,Observation,SNOMED,Clinical Finding,S,1340072001,0000-00-00,0000-00-00,
1076370,CPE-related Prader-Willi-like syndrome,Condition,SNOMED,Disorder,S,1340175001,0000-00-00,0000-00-00,
1076371,"Developmental delay, overweight, facial dysmorphism, behavioral abnormalities syndrome",Condition,SNOMED,Disorder,S,1340176000,0000-00-00,0000-00-00,
1076409,Inadequate digital access,Observation,SNOMED,Clinical Finding,S,1343352004,0000-00-00,0000-00-00,
1076474,Has internet service,Observation,SNOMED,Clinical Finding,S,1344621003,0000-00-00,0000-00-00,
1076475,Has internet-enabled digital device,Observation,SNOMED,Clinical Finding,S,1344622005,0000-00-00,0000-00-00,
1076490,Adequate digital access,Observation,SNOMED,Clinical Finding,S,1344655000,0000-00-00,0000-00-00,
1076770,Acute non-traumatic subdural hygroma,Condition,SNOMED,Disorder,S,16916541000119107,0000-00-00,0000-00-00,
1076814,Tyrosinaemia type 1 screening related finding,Observation,SNOMED,Clinical Finding,S,2201731000000107,0000-00-00,0000-00-00,
1077178,Subacute cough,Condition,SNOMED,Clinical Finding,S,383350451000119103,0000-00-00,0000-00-00,
1077328,Benign neoplasm of large intestine with hemorrhage,Condition,SNOMED,Disorder,S,46751000087108,0000-00-00,0000-00-00,
1077329,Bleeding ulcer of large intestine,Condition,SNOMED,Disorder,S,46761000087106,0000-00-00,0000-00-00,
1077332,Malignant neoplasm of large intestine with hemorrhage,Condition,SNOMED,Disorder,S,46811000087102,0000-00-00,0000-00-00,
1077447,Acute cough,Condition,SNOMED,Clinical Finding,S,788062371000119104,0000-00-00,0000-00-00,
1077490,Finding related to digital access,Observation,SNOMED,Clinical Finding,S,851241000124104,0000-00-00,0000-00-00,
1077512,Antibody to Dependoparvovirus detected,Measurement,SNOMED,Clinical Finding,S,1335893002,0000-00-00,0000-00-00,
1077513,Antibody to Lentivirus detected,Measurement,SNOMED,Clinical Finding,S,1335898006,0000-00-00,0000-00-00,
1077514,Antibody to Retrovirus detected,Measurement,SNOMED,Clinical Finding,S,1335899003,0000-00-00,0000-00-00,
1077515,Antibody to Adenovirus detected,Measurement,SNOMED,Clinical Finding,S,1335900008,0000-00-00,0000-00-00,
1077516,Antibody to Human herpes simplex virus detected,Measurement,SNOMED,Clinical Finding,S,1335903005,0000-00-00,0000-00-00,
1077672,Urine erythrocytes not detected,Measurement,SNOMED,Clinical Finding,S,668031000005107,0000-00-00,0000-00-00,
1077673,Urine erythrocyte test = +,Measurement,SNOMED,Clinical Finding,S,668001000005101,0000-00-00,0000-00-00,
1077674,Urine erythrocyte test = ++,Measurement,SNOMED,Clinical Finding,S,668011000005103,0000-00-00,0000-00-00,
1077675,Urine erythrocyte test = +++,Measurement,SNOMED,Clinical Finding,S,668021000005109,0000-00-00,0000-00-00,
37310420,CGAS (Children's Global Assessment Scale) - Doing very well,Observation,SNOMED,Clinical Finding,S,1127081000000107,0000-00-00,0000-00-00,
37310304,Rockwood Clinical Frailty Scale level 1 - very fit,Observation,SNOMED,Clinical Finding,S,1129331000000101,0000-00-00,0000-00-00,
603160,Haemophilus influenzae type b immune,Observation,SNOMED,Clinical Finding,S,1156927006,0000-00-00,0000-00-00,
603161,Haemophilus influenzae type b non-immune,Observation,SNOMED,Clinical Finding,S,1156928001,0000-00-00,0000-00-00,
432851,Metastatic malignant neoplasm,Condition,SNOMED,Disorder,S,128462008,0000-00-00,0000-00-00,
441631,Shock due to incomplete miscarriage,Condition,SNOMED,Disorder,S,198649006,0000-00-00,0000-00-00,
4309916,Acute reaction to foreign substance left during procedure,Observation,SNOMED,Disorder,S,213292003,0000-00-00,0000-00-00,
4045730,Transient neonatal myasthenia gravis,Condition,SNOMED,Disorder,S,230683002,0000-00-00,0000-00-00,
4128232,First use syndrome of dialysis,Condition,SNOMED,Disorder,S,236539007,0000-00-00,0000-00-00,
4125002,Idiopathic fluid retention,Observation,SNOMED,Clinical Finding,S,234176004,0000-00-00,0000-00-00,
4342653,Acute radiation enteritis of intestine,Condition,SNOMED,Disorder,S,235707005,0000-00-00,0000-00-00,
4102715,Finding of temperature sense,Observation,SNOMED,Clinical Finding,S,299902004,0000-00-00,0000-00-00,
4266926,Finding of position of body and posture,Observation,SNOMED,Clinical Finding,S,364830008,0000-00-00,0000-00-00,
4274409,Finding of urine appearance,Condition,SNOMED,Clinical Finding,S,365430005,0000-00-00,0000-00-00,
4269866,Finding of Hepatitis A status,Observation,SNOMED,Clinical Finding,S,365864004,0000-00-00,0000-00-00,
4268705,Finding of Hepatitis C status,Observation,SNOMED,Clinical Finding,S,365865003,0000-00-00,0000-00-00,
4296101,Finding of diffusion capacity of lung,Condition,SNOMED,Clinical Finding,S,37985006,0000-00-00,0000-00-00,
432250,Infectious disease,Condition,SNOMED,Disorder,S,40733004,0000-00-00,0000-00-00,
4136193,Physical health problem,Observation,SNOMED,Clinical Finding,S,413320001,0000-00-00,0000-00-00,
441406,Disorder of fetus and/or newborn,Condition,SNOMED,Disorder,S,414025005,0000-00-00,0000-00-00,
4186042,American Society of Anesthesiologists physical status class 1,Condition,SNOMED,Clinical Finding,S,413495001,0000-00-00,0000-00-00,
4184967,American Society of Anesthesiologists physical status class 2,Condition,SNOMED,Clinical Finding,S,413496000,0000-00-00,0000-00-00,
4186043,American Society of Anesthesiologists physical status class 3,Condition,SNOMED,Clinical Finding,S,413497009,0000-00-00,0000-00-00,
